"","name","inDegree1","outDegree1","TotalDegree","betweenness1","inCloseness1","outCloseness1","inDegreeR","outDegreeR","TotalDegreeR","betweennessR","inClosenessR","outClosenessR","inDegreeM","outDegreeM","TotalDegreeM","betweennessM","inClosenessM","outClosenessM","inDegreeE","outDegreeE","TotalDegreeE","betweennessE","inClosenessE","outClosenessE"
"82","Keep San Antonio Beautiful",0,3,3,0,0.00125786163522013,0.00258876463108474,0,1,1,0,0.00268096514745308,0.00268817204301075,0,2,2,0,0.00198412698412698,0.00291096385890795,0,1,1,0,0.00420168067226891,0.00477668494034183
"83","Keep Texas Beautiful",6,9,15,0.00812258426537652,0.00145393817649784,0.00253458721980681,2,0,2,0,0.00269541778975741,0.00268096514745308,3,4,7,0.00141547791603632,0.00199600798403194,0.00284729337310864,1,3,4,0.000500607880998355,0.00421940928270042,0.00475664826894129
"84","LINK Houston",1,0,1,0,0.00126103204514304,0.00125786163522013,1,0,1,0,0.00269539825958424,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"85","Lone Star Circle of Care",2,0,2,0,0.00145793740417367,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,2,0,2,0,0.0020200316458238,0.00198412698412698,1,0,1,0,0.00430932596323436,0.00420168067226891
"86","Master Naturalist",5,0,5,0,0.00145823461782866,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,4,0,4,0,0.002,0.00198412698412698,2,0,2,0,0.00423728813559322,0.00420168067226891
"87","National Center for Appropriate Technology",2,10,12,0.000764005577772765,0.00145281551621609,0.00253256612102732,1,10,11,0.0002427325160131,0.00271725236116082,0.0039724915637948,2,10,12,0.000108908303169034,0.00199600006349106,0.00210937729337119,0,5,5,0,0.00420168067226891,0.00442403539228314
"88","National Wildlife Federation",10,9,19,0.0114656249390049,0.00145516124066241,0.00253390777086325,6,6,12,0.00558559090099825,0.00303747856617947,0.003720037200372,7,5,12,0.00375159559307659,0.00223131110598506,0.00257805933124218,0,1,1,0,0.00420168067226891,0.00421940928270042
"89","Native Plant Society of Texas",6,5,11,0.00430220391384831,0.00145481729583545,0.00253116940664161,1,0,1,0,0.00268817204301075,0.00268096514745308,3,2,5,0.00138214537476337,0.00199600798403194,0.00258985990042169,1,0,1,0,0.00421940928270042,0.00420168067226891
"90","New Braunfels Parks and Recreation Department",2,0,2,0,0.00145635697987513,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"91","North Central Texas Council of Governments",1,8,9,0.00112524259817484,0.00145548133537663,0.00127388126271475,1,5,6,3.62287337332986e-05,0.00268817204301075,0.00271739130434783,1,8,9,2.77221135339358e-05,0.00198807157057654,0.00202427520484216,0,6,6,0,0.00420168067226891,0.00431034482758621
"92","OneStar Foundation",0,9,9,0,0.00125786163522013,0.00128039940721055,0,5,5,0,0.00268096514745308,0.00271739130434783,0,5,5,0,0.00198412698412698,0.00201610478935112,0,2,2,0,0.00420168067226891,0.00423728813559322
"93","Panhandle-Plains Historical Museum",1,8,9,1.11174286340492e-05,0.00125944584382872,0.00128532831720737,0,5,5,0,0.00268096514745308,0.0027471715948365,1,6,7,1.9801509667097e-05,0.00198807157057654,0.00201206438606035,1,0,1,0,0.00421940928270042,0.00420168067226891
"94","Parks and Recreation Department",2,0,2,0,0.00145918598005289,0.00125786163522013,1,0,1,0,0.0030457600890803,0.00268096514745308,2,0,2,0,0.00224581644134088,0.00198412698412698,1,0,1,0,0.00438458549941724,0.00420168067226891
"95","Pecan Street, Inc.",1,0,1,0,0.00145589766909683,0.00125786163522013,1,0,1,0,0.0030426958939964,0.00268096514745308,1,0,1,0,0.00223337181422609,0.00198412698412698,1,0,1,0,0.00438328802086223,0.00420168067226891
"96","Public Citizen",3,0,3,0,0.00145858821886906,0.00125786163522013,2,0,2,0,0.00305381110700653,0.00268096514745308,2,0,2,0,0.00223918801611503,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"97","Recycled Reads",1,3,4,1.58820409057846e-06,0.00125944584382872,0.00128530334939693,0,3,3,0,0.00268096514745308,0.0027027027027027,1,3,4,7.92060386683881e-06,0.00198807157057654,0.00203652794253995,0,3,3,0,0.00420168067226891,0.00425531914893617
"98","Reel Recovery",1,2,3,1.58820409057846e-06,0.00125944584382872,0.00126902539169572,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"99","Rocky Mountain Coal Mining Institute",1,0,1,0,0.00125944584382872,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"100","San Antonio Bay Partnership",5,10,15,0.0137583054052254,0.00145419114738246,0.00253708975993507,2,10,12,0.000289174302303595,0.00269541778975741,0.00390280750346217,3,10,13,0.000649489517080782,0.00199600798403194,0.00266507009717174,1,0,1,0,0.00421940928270042,0.00420168067226891
"101","San Antonio River Authority",5,0,5,0,0.00145680054308937,0.00125786163522013,3,0,3,0,0.0030451118587461,0.00268096514745308,4,0,4,0,0.00224015534118946,0.00198412698412698,2,0,2,0,0.00440307658009141,0.00420168067226891
"102","San Antonio River Foundation",2,9,11,0.0112707958652956,0.00145366666361531,0.0025368222626921,0,9,9,0,0.00268096514745308,0.00415860843124322,0,6,6,0,0.00198412698412698,0.00200803212851406,0,5,5,0,0.00420168067226891,0.00462637620051534
"103","San Marcos Greenbelt Alliance",3,10,13,0.00357872113250566,0.00145439891561189,0.00253670069168224,2,0,2,0,0.0030440902098131,0.00268096514745308,2,8,10,0.00100558666592741,0.00222979772232591,0.00257909039634928,1,0,1,0,0.00421940928270042,0.00420168067226891
"104","San Marcos River Foundation",5,18,23,0.00787553230803897,0.00145455611307433,0.00253896382136439,4,13,17,0.00274458535696689,0.00303561956832184,0.00372376099860859,4,12,16,0.0037016502138123,0.0022298273767832,0.00258030758497574,0,6,6,0,0.00420168067226891,0.00503847952719078
"105","Save Our Springs Alliance",6,10,16,0.00867697301627218,0.00145473999728839,0.00253751138524472,4,9,13,0.00276069851758922,0.00303631332794633,0.00372253132129848,2,2,4,0.00046335532621007,0.00222930359746666,0.00257881272077559,2,3,5,0.000536365586783952,0.00438385557323074,0.00425531914893617
"106","Sierra Club",9,0,9,0,0.00146138286574603,0.00125786163522013,4,0,4,0,0.00304688267863578,0.00268096514745308,4,0,4,0,0.00224103363778124,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"107","Sierra Club, Lone Star Chapter",2,10,12,0.00591080713205667,0.00145458808959823,0.002527744704152,2,6,8,0.00983634273348211,0.00303636289433947,0.00371531869843997,1,9,10,0.00586223693694407,0.00222975818427644,0.00257710831027769,1,6,7,0.00269970678681256,0.00436504282162262,0.00489305475266331
"108","South-Central Partnership for Energy Efficiency as a Resource",3,8,11,0.00504137127273767,0.00145434829993278,0.00253054824295813,3,8,11,0.00882193818894975,0.00303561956832184,0.00371791796593907,3,6,9,0.00480087601878767,0.0022294715753455,0.00257771582604774,1,4,5,0.0022527354644926,0.004364721265585,0.00489295373371596
"109","Southside Economic and Community Development Corporation",1,0,1,0,0.00145589766909683,0.00125786163522013,1,0,1,0,0.0030426958939964,0.00268096514745308,1,0,1,0,0.00223337181422609,0.00198412698412698,1,0,1,0,0.00438328802086223,0.00420168067226891
"110","Southwest School of Art",1,0,1,0,0.00145549467571249,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"111","Stop Abuse for Everyone",2,0,2,0,0.00146405865085336,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00199598422259787,0.00198412698412698,2,0,2,0,0.00432797662527392,0.00420168067226891
"112","Sustainable Food Center",7,10,17,0.00769089398528826,0.00145309734837185,0.00253356009866206,3,4,7,0.00236935918615773,0.0027173317555278,0.00397223705285638,3,6,9,0.000182173888937293,0.00199600798403194,0.0021093861392782,4,5,9,0.000411213616534363,0.00427350427350427,0.00432884618897149
"113","Tarrant Workforce Solutions",1,0,1,0,0.00145731124240372,0.00125786163522013,1,0,1,0,0.00269539825958424,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"114","Texan by Nature",4,0,4,0,0.00145644513659218,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.002012,0.00198412698412698,1,0,1,0,0.00429145692246406,0.00420168067226891
"115","Texas Aggregates and Concrete Association",1,0,1,0,0.00125944584382872,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"116","Texas Alliance of Groundwater Districts",5,8,13,0.00151517472383933,0.00145483062400141,0.00253032244083698,2,0,2,0,0.00304543593941875,0.00268096514745308,3,0,3,0,0.00223556549140218,0.00198412698412698,2,0,2,0,0.00438434216368211,0.00420168067226891
"117","Texas American Water Works Association",2,8,10,0.000795346138493514,0.001458786524781,0.00127064803049555,0,8,8,0,0.00268096514745308,0.00273972602739726,0,4,4,0,0.00198412698412698,0.002,0,2,2,0,0.00420168067226891,0.00423728813559322
"118","Texas Association of Regional Councils",2,0,2,0,0.00145943809795146,0.00125786163522013,1,0,1,0,0.00269539825958424,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"119","Texas Center for Local Food",3,0,3,0,0.00145465204686398,0.00125786163522013,2,0,2,0,0.00272459607130825,0.00268096514745308,2,0,2,0,0.00199998409555391,0.00198412698412698,2,0,2,0,0.00423728813559322,0.00420168067226891
"120","Texas Children in Nature",5,10,15,0.00733922325016946,0.00145428436937358,0.00253427980491791,0,10,10,0,0.00268096514745308,0.00404831864185439,3,10,13,0.00290613556377538,0.00200800807993709,0.00282547760682608,3,5,8,0.00146606593720947,0.00427342721650228,0.00469204727683079
"121","Texas Energy Poverty Research Institute",2,13,15,0.00522897599021809,0.00145406864522556,0.00253368136882615,1,7,8,0.0074993478827928,0.00303455476881913,0.00372126523017826,2,11,13,0.00455434722343231,0.00222894796314924,0.00257911684476075,2,8,10,0.00282485875706215,0.00436488203768164,0.00489436837866303
"122","Texas Farmers' Market",1,6,7,0.000398242175712548,0.00145281285794271,0.00253250149908779,1,2,3,1.44914934933194e-05,0.00271725236116082,0.00396715367388291,1,2,3,1.9801509667097e-06,0.00199599214301304,0.00210914732582762,0,2,2,0,0.00420168067226891,0.00436608820603515
"123","Texas Floating Classroom",1,5,6,0.0114204466302166,0.00145390622854161,0.00253623072672274,1,0,1,0,0.00270266343122012,0.00268096514745308,1,0,1,0,0.00199997614342572,0.00198412698412698,0,1,1,0,0.00420168067226891,0.00421940928270042
"124","Texas Foundation for Conservation",1,10,11,0.00063030778437311,0.00126103204514304,0.00269005729076673,0,6,6,0,0.00268096514745308,0.00272479564032698,1,9,10,0.000360387475941166,0.00198807157057654,0.00263986564500892,0,2,2,0,0.00420168067226891,0.00425524274633726
"125","Texas Hill Country Conservation Network",5,10,15,0.0116543901033201,0.0014548332896639,0.0025378033617904,3,10,13,0.00434522256863792,0.0030364620319808,0.00372432021144528,4,10,14,0.0120523648722979,0.00223078662947211,0.00258082391392465,1,0,1,0,0.00421940928270042,0.00420168067226891
"126","Texas Housers",1,0,1,0,0.00145675510552301,0.00125786163522013,1,0,1,0,0.00270992839087075,0.00268096514745308,1,0,1,0,0.00202407970769553,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"127","Texas Master Naturalist",10,10,20,0.0118694445843048,0.00145487060996458,0.00253264690308957,4,0,4,0,0.0027247557241844,0.00268096514745308,6,2,8,0.00149699413083253,0.00226467423359012,0.00200800006387277,1,0,1,0,0.00421940928270042,0.00420168067226891
"128","Texas Mining and Reclamation Association",0,4,4,0,0.00125786163522013,0.00126422250316056,0,4,4,0,0.00268096514745308,0.002710027100271,0,2,2,0,0.00198412698412698,0.00199203187250996,0,3,3,0,0.00420168067226891,0.00425531914893617
"129","Texas Municipal League",5,2,7,0.000346493192427866,0.00146265351875015,0.00126103404791929,2,0,2,0,0.00269541778975741,0.00268096514745308,4,2,6,3.16824154673552e-05,0.002,0.00199203187250996,1,0,1,0,0.00421940928270042,0.00420168067226891
"130","Texas Organizing Project",1,0,1,0,0.00145675510552301,0.00125786163522013,1,0,1,0,0.00270992839087075,0.00268096514745308,1,0,1,0,0.00202407970769553,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"131","Texas Parks and Wildlife Foundation",23,0,23,0,0.0014722051742264,0.00125786163522013,9,0,9,0,0.00309288636136885,0.00268096514745308,10,0,10,0,0.00225106287760125,0.00198412698412698,1,0,1,0,0.0042912238135762,0.00420168067226891
"132","Texas Public Health Association",1,0,1,0,0.00145731124240372,0.00125786163522013,1,0,1,0,0.00269539825958424,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"133","Texas Rural Water Association",2,0,2,0,0.00146115427507241,0.00125786163522013,2,0,2,0,0.00305463861654432,0.00268096514745308,2,0,2,0,0.00224050458123054,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"134","Texas Stream Team",1,1,2,0.000933927064490146,0.00145428703303466,0.00252945186714325,0,1,1,0,0.00268096514745308,0.00268817204301075,1,1,2,0.00119205088195924,0.00223425472280583,0.00201199195203219,0,1,1,0,0.00420168067226891,0.00421940928270042
"135","Texas Trees Foundation",3,5,8,0.00056365930390376,0.00145388759288218,0.00253157292301021,1,2,3,0,0.00268817204301075,0.00381569769827268,3,3,6,0.0005306804590782,0.00199600798403194,0.00263882695485665,0,2,2,0,0.00420168067226891,0.0043100312795519
"136","Texas Water Conservation Association",8,0,8,0,0.00146121612196186,0.00125786163522013,2,0,2,0,0.00304543593941875,0.00268096514745308,5,0,5,0,0.00224072415928297,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"137","Texas Water Foundation",7,10,17,0.00348649991585277,0.00145506790622326,0.00253337417362228,4,7,11,0.0015962035047332,0.0030371809735308,0.00371888433469959,4,7,11,0.00100828658605503,0.00223106368067846,0.00257720073985644,0,4,4,0,0.00420168067226891,0.00495753671087311
"138","Texas Water Trade",5,0,5,0,0.00145716681990776,0.00125786163522013,3,0,3,0,0.00304640859545823,0.00268096514745308,4,0,4,0,0.00223620156934225,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"139","The Austin Common",2,10,12,0.00135660611978901,0.00145640239260867,0.00127388535031847,0,3,3,0,0.00268096514745308,0.0027027027027027,0,9,9,0,0.00198412698412698,0.00202020202020202,0,1,1,0,0.00420168067226891,0.00421940928270042
"140","The Cynthia and George Mitchell Foundation",4,0,4,0,0.0014569582601643,0.00125786163522013,2,0,2,0,0.00304635870054785,0.00268096514745308,2,0,2,0,0.00223575428927016,0.00198412698412698,2,0,2,0,0.00438482886216466,0.00420168067226891
"141","The Meadows Center for Water and the Environment",11,9,20,0.00267966686336639,0.00145505190723586,0.00253280040320651,7,9,16,0.00494380750880186,0.00303760258032907,0.00372048366287617,11,7,18,0.00277020134300753,0.00223128141205069,0.00257813861467335,3,2,5,0.000697275262819138,0.00436544483330263,0.00488810972465711
"142","The Nature Conservancy",23,11,34,0.0166787941663165,0.00145521724707353,0.00253426362725259,11,10,21,0.00971033574720211,0.00303760258032907,0.00372048366287617,8,10,18,0.00912450736672735,0.00223135069912698,0.00257923586932555,3,4,7,0.000643638704140742,0.00436616864096093,0.00427350427350427
"143","The Plum Creek Watershed Partnership",1,3,4,0.000171526041782473,0.00145427105121452,0.0025368222626921,0,3,3,0,0.00268096514745308,0.00374777098298391,1,1,2,0,0.00222928383702739,0.00257877305771735,0,1,1,0,0.00420168067226891,0.00421940928270042
"144","The Trust for Public Land",2,8,10,0.00185887229316857,0.00145416185151066,0.00253159713808364,1,8,9,4.34744804799583e-05,0.00268817204301075,0.00381593254416019,1,6,7,4.75236232010328e-05,0.00199599214301304,0.00263884079868215,1,0,1,0,0.00421940928270042,0.00420168067226891
"145","Trail Alliances",1,0,1,0,0.00145606854158414,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"146","TreeFolks",1,10,11,0.00124607845939968,0.00145313989857303,0.00253196041978246,0,10,10,0,0.00268096514745308,0.0038600423359482,0,3,3,0,0.00198412698412698,0.00200800807993709,1,5,6,0.000393334763641565,0.00423721237909642,0.00440479509339281
"147","Trees for Houston",2,10,12,0.000263694819172376,0.00126421646442918,0.00260194785617848,1,7,8,8.69489609599165e-05,0.00269539825958424,0.00278528590360814,1,6,7,3.9603019334194e-05,0.00199202398349353,0.00202017767924559,0,3,3,0,0.00420168067226891,0.00425531914893617
"148","Trinity River Audubon Center",1,3,4,3.17640818115691e-06,0.00125944584382872,0.00126902741994259,1,0,1,0,0.00268817204301075,0.00268096514745308,0,2,2,0,0.00198412698412698,0.00199998409555391,1,0,1,0,0.00421940928270042,0.00420168067226891
"149","Trinity University",1,0,1,0,0.00145549467571249,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"150","United Way of Brazoria County",1,0,1,0,0.00126103204514304,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"151","University of Texas at Austin",5,5,10,0.00396424213986416,0.00145508657215323,0.00253252573192864,3,5,8,0.00229921345693887,0.00303710658447973,0.0037197768133912,3,5,8,0.00177362279243027,0.00223094493602111,0.00257812540042952,1,1,2,0.000178788528927984,0.0043836123185055,0.00421940928270042
"152","Urban Land Institute",4,10,14,0.00109887680602468,0.00146020571613527,0.00127388535031847,3,2,5,0.000427499058052923,0.00306041858628406,0.00269541778975741,2,9,11,7.12854348015493e-05,0.00199203187250996,0.00202020202020202,1,4,5,7.15154115711936e-05,0.00421940928270042,0.00427350427350427
"153","US Green Building Council",3,0,3,0,0.00145576153379329,0.00125786163522013,3,0,3,0,0.00305128121001345,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00423721237909642,0.00420168067226891
"154","USDA Agricultural Marketing Service",1,0,1,0,0.00145464138692911,0.00125786163522013,1,0,1,0,0.00272455616101248,0.00268096514745308,1,0,1,0,0.00199996819136077,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"155","USDA Natural Resources Conservation Service",6,0,6,0,0.00146338676353771,0.00125786163522013,4,0,4,0,0.00306478056335939,0.00268096514745308,5,0,5,0,0.00227112644259423,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"156","Watershed Protection Department",1,0,1,0,0.00145704916348128,0.00125786163522013,1,0,1,0,0.0030457600890803,0.00268096514745308,1,0,1,0,0.00223578410237491,0.00198412698412698,1,0,1,0,0.00438458549941724,0.00420168067226891
"157","Westcave Outdoor Discovery Center",2,0,2,0,0.00145611927707529,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,2,0,2,0,0.00201200804803219,0.00198412698412698,2,0,2,0,0.00429153463105478,0.00420168067226891
"158","Wildcat Bluff Nature Center",0,5,5,0,0.00125786163522013,0.00129195602793489,0,1,1,0,0.00268096514745308,0.0027173119065011,0,3,3,0,0.00198412698412698,0.0020201533388757,0,3,3,0,0.00420168067226891,0.00432868806049205
"159","Wimberley Valley Watershed Association",8,10,18,0.0138877481329621,0.0014549532545875,0.002536020109298,7,9,16,0.00939135037256939,0.00303725536622605,0.00372350009008468,3,4,7,0.000505576545155803,0.00223109336881792,0.00257805933124218,1,4,5,0.00286061646284774,0.00436520361740924,0.00489396411092985
"160","Women's Health and Family Planning Association of Texas",1,0,1,0,0.001457664395721,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00201595934415191,0.00198412698412698,1,0,1,0,0.00430932596323436,0.00420168067226891
"161","Yellow Bike Project",1,0,1,0,0.00126103204514304,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
